step,icaoAddress,callSign,latitude,longitude,altitude,horizontalSpeed,verticalSpeed,heading
0,0x000001,TAR001,30,-98,3000,100,500,0
0,0x000002,TAR002,30.1,-98,3000,100,500,0
0,0x000003,TAR003,30.2,-98,3000,100,500,0
0,0x000004,TAR004,30.3,-98,3000,100,500,0
0,0x000005,TAR005,30.4,-98,3000,100,500,0
0,0x000006,TAR006,30.5,-98,3000,100,500,0
0,0x000007,TAR007,30.6,-98,3000,100,500,0
0,0x000008,TAR008,30.7,-98,3000,100,500,0
0,0x000009,TAR009,30.8,-98,3000,100,500,0
0,0x000010,TAR010,30.9,-98,3000,100,500,0
0,0x000011,TAR011,30,-98.1,3000,100,500,0
0,0x000012,TAR012,30.1,-98.1,3000,100,500,0
0,0x000013,TAR013,30.2,-98.1,3000,100,500,0
0,0x000014,TAR014,30.3,-98.1,3000,100,500,0
0,0x000015,TAR015,30.4,-98.1,3000,100,500,0
0,0x000016,TAR016,30.5,-98.1,3000,100,500,0
0,0x000017,TAR017,30.6,-98.1,3000,100,500,0
0,0x000018,TAR018,30.7,-98.1,3000,100,500,0
0,0x000019,TAR019,30.8,-98.1,3000,100,500,0
0,0x000020,TAR020,30.9,-98.1,3000,100,500,0
0,0x000021,TAR021,30,-98.2,3000,100,500,0
0,0x000022,TAR022,30.1,-98.2,3000,100,500,0
0,0x000023,TAR023,30.2,-98.2,3000,100,500,0
0,0x000024,TAR024,30.3,-98.2,3000,100,500,0
0,0x000025,TAR025,30.4,-98.2,3000,100,500,0
0,0x000026,TAR026,30.5,-98.2,3000,100,500,0
0,0x000027,TAR027,30.6,-98.2,3000,100,500,0
0,0x000028,TAR028,30.7,-98.2,3000,100,500,0
0,0x000029,TAR029,30.8,-98.2,3000,100,500,0
0,0x000030,TAR030,30.9,-98.2,3000,100,500,0
0,0x000031,TAR031,30,-98.3,3000,100,500,0
0,0x000032,TAR032,30.1,-98.3,3000,100,500,0
0,0x000033,TAR033,30.2,-98.3,3000,100,500,0
0,0x000034,TAR034,30.3,-98.3,3000,100,500,0
0,0x000035,TAR035,30.4,-98.3,3000,100,500,0
0,0x000036,TAR036,30.5,-98.3,3000,100,500,0
0,0x000037,TAR037,30.6,-98.3,3000,100,500,0
0,0x000038,TAR038,30.7,-98.3,3000,100,500,0
0,0x000039,TAR039,30.8,-98.3,3000,100,500,0
0,0x000040,TAR040,30.9,-98.3,3000,100,500,0
0,0x000041,TAR041,30,-98.4,3000,100,500,0
0,0x000042,TAR042,30.1,-98.4,3000,100,500,0
0,0x000043,TAR043,30.2,-98.4,3000,100,500,0
0,0x000044,TAR044,30.3,-98.4,3000,100,500,0
0,0x000045,TAR045,30.4,-98.4,3000,100,500,0
0,0x000046,TAR046,30.5,-98.4,3000,100,500,0
0,0x000047,TAR047,30.6,-98.4,3000,100,500,0
0,0x000048,TAR048,30.7,-98.4,3000,100,500,0
0,0x000049,TAR049,30.8,-98.4,3000,100,500,0
0,0x000050,TAR050,30.9,-98.4,3000,100,500,0
0,0x000051,TAR051,30,-98.5,3000,100,500,0
0,0x000052,TAR052,30.1,-98.5,3000,100,500,0
0,0x000053,TAR053,30.2,-98.5,3000,100,500,0
0,0x000054,TAR054,30.3,-98.5,3000,100,500,0
0,0x000055,TAR055,30.4,-98.5,3000,100,500,0
0,0x000056,TAR056,30.5,-98.5,3000,100,500,0
0,0x000057,TAR057,30.6,-98.5,3000,100,500,0
0,0x000058,TAR058,30.7,-98.5,3000,100,500,0
0,0x000059,TAR059,30.8,-98.5,3000,100,500,0
0,0x000060,TAR060,30.9,-98.5,3000,100,500,0
0,0x000061,TAR061,30,-98.6,3000,100,500,0
0,0x000062,TAR062,30.1,-98.6,3000,100,500,0
0,0x000063,TAR063,30.2,-98.6,3000,100,500,0
0,0x000064,TAR064,30.3,-98.6,3000,100,500,0
0,0x000065,TAR065,30.4,-98.6,3000,100,500,0
0,0x000066,TAR066,30.5,-98.6,3000,100,500,0
0,0x000067,TAR067,30.6,-98.6,3000,100,500,0
0,0x000068,TAR068,30.7,-98.6,3000,100,500,0
0,0x000069,TAR069,30.8,-98.6,3000,100,500,0
0,0x000070,TAR070,30.9,-98.6,3000,100,500,0
0,0x000071,TAR071,30,-98.7,3000,100,500,0
0,0x000072,TAR072,30.1,-98.7,3000,100,500,0
0,0x000073,TAR073,30.2,-98.7,3000,100,500,0
0,0x000074,TAR074,30.3,-98.7,3000,100,500,0
0,0x000075,TAR075,30.4,-98.7,3000,100,500,0
0,0x000076,TAR076,30.5,-98.7,3000,100,500,0
0,0x000077,TAR077,30.6,-98.7,3000,100,500,0
0,0x000078,TAR078,30.7,-98.7,3000,100,500,0
0,0x000079,TAR079,30.8,-98.7,3000,100,500,0
0,0x000080,TAR080,30.9,-98.7,3000,100,500,0
0,0x000081,TAR081,30,-98.8,3000,100,500,0
0,0x000082,TAR082,30.1,-98.8,3000,100,500,0
0,0x000083,TAR083,30.2,-98.8,3000,100,500,0
0,0x000084,TAR084,30.3,-98.8,3000,100,500,0
0,0x000085,TAR085,30.4,-98.8,3000,100,500,0
0,0x000086,TAR086,30.5,-98.8,3000,100,500,0
0,0x000087,TAR087,30.6,-98.8,3000,100,500,0
0,0x000088,TAR088,30.7,-98.8,3000,100,500,0
0,0x000089,TAR089,30.8,-98.8,3000,100,500,0
